index,function,description,example,exp output
102,*args,To deal with an unknown number of arguments in a function use the * symbol before the parameter name
103,Keyword Arguments,How to use keyword arguments in a function
104,*kwargs,To deal with an unknown number of keyword arguments in a function use the * symbol before the parameter name
105,Default Parameter Value,How to use a default parameter value
106,Passing a List as an Argument,How to pass a list as an argument
107,Function Return Value,How to return a value from a function
108,The pass Statement i Functions,Use the pass statement in empty functions
109,Function Recursion,Functions that can call itself is called recursive functions
110,Lambda Function,How to create anonymous functions in Python
111,Why Use Lambda Functions,Learn when to use a lambda function or not
112,Array,Lists can be used as Arrays
113,What is an Array,Arrays are variables that can hold more than one value
114,Access Arrays,How to access array items
115,Array Length,How to get the length of an array
116,Looping Array Elements,How to loop through array elements
117,Add Array Element,How to add elements from an array
118,Remove Array Element,How to remove elements from an array
119,Array Methods,Python has a set of Array/Lists methods
120,Class,A class is like an object constructor
121,Create Class,How to create a class
122,The Class __init__() Function,The __init__() function is executed when the class is initiated
123,Object Methods,Methods in objects are functions that belongs to the object
124,self,The self parameter refers to the current instance of the class
125,Modify Object Properties,How to modify properties of an object
126,Delete Object Properties,How to modify properties of an object
127,Delete Object,How to delete an object
128,Class pass Statement,Use the pass statement in empty classes
129,Create Parent Class,How to create a parent class
130,Create Child Class,How to create a child class
131,Create the __init__() Function,How to create the __init__() function
132,super Function,The super() function make the child class inherit the parent class
133,Add Class Properties,How to add a property to a class
134,Add Class Methods,How to add a method to a class
135,Iterators,An iterator is an object that contains a countable number of values
136,Iterator vs Iterable,What is the difference between an iterator and an iterable
137,Loop Through an Iterator,How to loop through the elements of an iterator
138,Create an Iterator,How to create an iterator
139,StopIteration,How to stop an iterator
140,Global Scope,When does a variable belong to the global scope?
141,Global Keyword,The global keyword makes the variable global
142,Create a Module,How to create a module
143,Variables in Modules,How to use variables in a module
144,Renaming a Module,How to rename a module
145,Built-in Modules,How to import built-in modules
146,Using the dir() Function,List all variable names and function names in a module
147,Import From Module,How to import only parts from a module
148,Datetime Module,How to work with dates in Python
149,Date Output,How to output a date
150,Create a Date Object,How to create a date object
151,The strftime Method,How to format a date object into a readable string
152,Date Format Codes,The datetime module has a set of legal format codes
153,JSON,How to work with JSON in Python
154,Parse JSON,How to parse JSON code in Python
155,Convert into JSON,How to convert a Python object in to JSON
156,Format JSON,How to format JSON output with indentations and line breaks
157,Sort JSON,How to sort JSON
158,RegEx Module,How to import the regex module
159,RegEx Functions,The re module has a set of functions
160,Metacharacters in RegEx,Metacharacters are characters with a special meaning
161,RegEx Special Sequences,A backslash followed by a a character has a special meaning
162,RegEx Sets,A set is a set of characters inside a pair of square brackets with a special meaning
163,RegEx Match Object,The Match Object is an object containing information about the search and the result
164,Install PIP,How to install PIP
165,PIP Packages,How to download and install a package with PIP
166,PIP Remove Package,How to remove a package with PIP
167,Error Handling,How to handle errors in Python
168,Handle Many Exceptions,How to handle more than one exception
169,Try Else,How to use the else keyword in a try statement
170,Try Finally,How to use the finally keyword in a try statement
171,raise,How to raise an exception in Python
